id,delivery_file,master_file,cefr,topic,subtype,roles,line_count,target_seconds,record_status
listening_a1_0001,listening_a1_0001.m4a,listening_a1_0001.wav,A1,transport,short_dialogue,f1|m1,2,5,awaiting_recording
listening_a1_0002,listening_a1_0002.m4a,listening_a1_0002.wav,A1,vie_quotidienne,short_dialogue,f2|m2,2,6,awaiting_recording
listening_a1_0003,listening_a1_0003.m4a,listening_a1_0003.wav,A1,sante,image_match,m1|f1,2,4,awaiting_recording
listening_a1_0004,listening_a1_0004.m4a,listening_a1_0004.wav,A1,loisirs,short_dialogue,f1|f2,2,4,awaiting_recording
listening_a1_0005,listening_a1_0005.m4a,listening_a1_0005.wav,A1,logement,short_dialogue,f2|m2,2,7,awaiting_recording
listening_a1_0006,listening_a1_0006.m4a,listening_a1_0006.wav,A1,vie_quotidienne,short_dialogue,m1|f1,2,3,awaiting_recording
listening_a1_0007,listening_a1_0007.m4a,listening_a1_0007.wav,A1,vie_quotidienne,short_dialogue,f1|m1,2,5,awaiting_recording
listening_a1_0008,listening_a1_0008.m4a,listening_a1_0008.wav,A1,transport,short_dialogue,m1|f1,2,5,awaiting_recording
listening_a1_0009,listening_a1_0009.m4a,listening_a1_0009.wav,A1,loisirs,short_dialogue,f2|m2,2,4,awaiting_recording
listening_a1_0010,listening_a1_0010.m4a,listening_a1_0010.wav,A1,environnement,image_match,narrator,1,3,awaiting_recording
listening_a1_0011,listening_a1_0011.m4a,listening_a1_0011.wav,A1,etudes,short_dialogue,f1|m1,2,4,awaiting_recording
listening_a1_0012,listening_a1_0012.m4a,listening_a1_0012.wav,A1,sante,short_dialogue,f2|m2,2,7,awaiting_recording
listening_a2_0001,listening_a2_0001.m4a,listening_a2_0001.wav,A2,loisirs,announcement,narrator,1,17,awaiting_recording
listening_a2_0002,listening_a2_0002.m4a,listening_a2_0002.wav,A2,logement,short_dialogue,f1|m1,4,20,awaiting_recording
listening_a2_0003,listening_a2_0003.m4a,listening_a2_0003.wav,A2,transport,announcement,narrator,1,15,awaiting_recording
listening_a2_0004,listening_a2_0004.m4a,listening_a2_0004.wav,A2,sante,short_dialogue,m2|f2,4,17,awaiting_recording
listening_a2_0005,listening_a2_0005.m4a,listening_a2_0005.wav,A2,services_publics,announcement,narrator,1,19,awaiting_recording
listening_a2_0006,listening_a2_0006.m4a,listening_a2_0006.wav,A2,etudes,short_dialogue,f2|m1,4,19,awaiting_recording
listening_a2_0007,listening_a2_0007.m4a,listening_a2_0007.wav,A2,logement,short_dialogue,f1|m1,3,16,awaiting_recording
listening_a2_0008,listening_a2_0008.m4a,listening_a2_0008.wav,A2,transport,announcement,narrator,1,16,awaiting_recording
listening_a2_0009,listening_a2_0009.m4a,listening_a2_0009.wav,A2,sante,short_dialogue,f2|m2,4,20,awaiting_recording
listening_a2_0010,listening_a2_0010.m4a,listening_a2_0010.wav,A2,loisirs,announcement,narrator,1,14,awaiting_recording
listening_a2_0011,listening_a2_0011.m4a,listening_a2_0011.wav,A2,travail,short_dialogue,f1|f2,4,18,awaiting_recording
listening_a2_0012,listening_a2_0012.m4a,listening_a2_0012.wav,A2,services_publics,announcement,f2,1,14,awaiting_recording
listening_a2_0013,listening_a2_0013.m4a,listening_a2_0013.wav,A2,logement,short_dialogue,f1|m1,4,19,awaiting_recording
listening_a2_0014,listening_a2_0014.m4a,listening_a2_0014.wav,A2,sante,short_dialogue,f2|m2,4,21,awaiting_recording
listening_a2_0015,listening_a2_0015.m4a,listening_a2_0015.wav,A2,loisirs,announcement,f1,2,16,awaiting_recording
listening_a2_0016,listening_a2_0016.m4a,listening_a2_0016.wav,A2,travail,short_dialogue,f2|m1,4,23,awaiting_recording
listening_a2_0017,listening_a2_0017.m4a,listening_a2_0017.wav,A2,environnement,announcement,narrator,2,19,awaiting_recording
listening_a2_0018,listening_a2_0018.m4a,listening_a2_0018.wav,A2,transport,announcement,narrator,2,18,awaiting_recording
listening_b1_0001,listening_b1_0001.m4a,listening_b1_0001.wav,B1,transport,announcement,narrator,3,25,awaiting_recording
listening_b1_0002,listening_b1_0002.m4a,listening_b1_0002.wav,B1,environnement,interview_excerpt,m1|f1,4,25,awaiting_recording
listening_b1_0003,listening_b1_0003.m4a,listening_b1_0003.wav,B1,services_publics,announcement,narrator,3,22,awaiting_recording
listening_b1_0004,listening_b1_0004.m4a,listening_b1_0004.wav,B1,travail,interview_excerpt,f2|m2,4,26,awaiting_recording
listening_b1_0005,listening_b1_0005.m4a,listening_b1_0005.wav,B1,sante,announcement,f1,3,21,awaiting_recording
listening_b1_0006,listening_b1_0006.m4a,listening_b1_0006.wav,B1,logement,interview_excerpt,m1|f2,4,25,awaiting_recording
listening_b1_0007,listening_b1_0007.m4a,listening_b1_0007.wav,B1,transport,announcement,narrator,1,30,awaiting_recording
listening_b1_0008,listening_b1_0008.m4a,listening_b1_0008.wav,B1,environnement,interview_excerpt,m1|f1,4,30,awaiting_recording
listening_b1_0009,listening_b1_0009.m4a,listening_b1_0009.wav,B1,services_publics,announcement,narrator,1,27,awaiting_recording
listening_b1_0010,listening_b1_0010.m4a,listening_b1_0010.wav,B1,travail,interview_excerpt,f2|m2,4,29,awaiting_recording
listening_b1_0011,listening_b1_0011.m4a,listening_b1_0011.wav,B1,sante,announcement,f1,1,27,awaiting_recording
listening_b1_0012,listening_b1_0012.m4a,listening_b1_0012.wav,B1,logement,interview_excerpt,m1|f2|m2,3,26,awaiting_recording
listening_b1_0013,listening_b1_0013.m4a,listening_b1_0013.wav,B1,transport,announcement,narrator,1,26,awaiting_recording
listening_b1_0014,listening_b1_0014.m4a,listening_b1_0014.wav,B1,environnement,interview_excerpt,m1|f1,4,26,awaiting_recording
listening_b1_0015,listening_b1_0015.m4a,listening_b1_0015.wav,B1,services_publics,announcement,narrator,1,27,awaiting_recording
listening_b1_0016,listening_b1_0016.m4a,listening_b1_0016.wav,B1,travail,interview_excerpt,f2|m2,4,26,awaiting_recording
listening_b1_0017,listening_b1_0017.m4a,listening_b1_0017.wav,B1,sante,announcement,narrator,1,26,awaiting_recording
listening_b1_0018,listening_b1_0018.m4a,listening_b1_0018.wav,B1,logement,interview_excerpt,f1|m1,4,25,awaiting_recording
listening_b1_0019,listening_b1_0019.m4a,listening_b1_0019.wav,B1,transport,announcement,narrator,2,21,awaiting_recording
listening_b1_0020,listening_b1_0020.m4a,listening_b1_0020.wav,B1,environnement,interview_excerpt,f1|m1,4,30,awaiting_recording
listening_b1_0021,listening_b1_0021.m4a,listening_b1_0021.wav,B1,sante,announcement,narrator,2,21,awaiting_recording
listening_b1_0022,listening_b1_0022.m4a,listening_b1_0022.wav,B1,culture,interview_excerpt,m2|f1,4,24,awaiting_recording
listening_b1_0023,listening_b1_0023.m4a,listening_b1_0023.wav,B1,logement,announcement,narrator,2,24,awaiting_recording
listening_b1_0024,listening_b1_0024.m4a,listening_b1_0024.wav,B1,technologie,interview_excerpt,f2|m1,4,28,awaiting_recording
listening_b1_0025,listening_b1_0025.m4a,listening_b1_0025.wav,B1,transport,announcement,narrator,3,30,awaiting_recording
listening_b1_0026,listening_b1_0026.m4a,listening_b1_0026.wav,B1,environnement,interview_excerpt,m1|f1,4,27,awaiting_recording
listening_b2_0001,listening_b2_0001.m4a,listening_b2_0001.wav,B2,environnement,interview_excerpt,narrator|f1|m1,5,34,awaiting_recording
listening_b2_0002,listening_b2_0002.m4a,listening_b2_0002.wav,B2,travail,interview_excerpt,m2|f2,4,27,awaiting_recording
listening_b2_0003,listening_b2_0003.m4a,listening_b2_0003.wav,B2,technologie,interview_excerpt,f1|m1,4,25,awaiting_recording
listening_b2_0004,listening_b2_0004.m4a,listening_b2_0004.wav,B2,logement,interview_excerpt,m2|elder_f,4,27,awaiting_recording
listening_b2_0005,listening_b2_0005.m4a,listening_b2_0005.wav,B2,culture,interview_excerpt,f1|youth,4,25,awaiting_recording
listening_b2_0006,listening_b2_0006.m4a,listening_b2_0006.wav,B2,sante,interview_excerpt,m1|f2,4,28,awaiting_recording
listening_b2_0007,listening_b2_0007.m4a,listening_b2_0007.wav,B2,environnement,interview_excerpt,narrator|m1|f1,5,39,awaiting_recording
listening_b2_0008,listening_b2_0008.m4a,listening_b2_0008.wav,B2,travail,interview_excerpt,narrator|f1|m1,5,34,awaiting_recording
listening_b2_0009,listening_b2_0009.m4a,listening_b2_0009.wav,B2,technologie,interview_excerpt,narrator|m2|f2,5,35,awaiting_recording
listening_b2_0010,listening_b2_0010.m4a,listening_b2_0010.wav,B2,sante,interview_excerpt,narrator|f1|elder_m,5,35,awaiting_recording
listening_b2_0011,listening_b2_0011.m4a,listening_b2_0011.wav,B2,logement,interview_excerpt,narrator|m1|f2,5,33,awaiting_recording
listening_b2_0012,listening_b2_0012.m4a,listening_b2_0012.wav,B2,medias,interview_excerpt,narrator|f1|youth,5,30,awaiting_recording
listening_b2_0013,listening_b2_0013.m4a,listening_b2_0013.wav,B2,travail,interview_excerpt,narrator|m1|f1,5,31,awaiting_recording
